Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Alana Beard,LAS,16,3,14.7,1.4,3.1,.449,0.1,0.3,.200,1.3,2.8,.477,.459,0.4,0.6,.778,0.1,1.5,1.4,0.8,0.2,0.6,1.3,3.3
Kenisha Bell,MIN,3,0,3.7,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0
Alex Bentley,ATL,29,4,21.9,3.4,11.1,.307,1.1,4.7,.235,2.3,6.4,.358,.356,1.0,1.2,.857,0.3,1.9,3.0,0.7,0.3,1.5,1.9,9.0
Tiffany Bias,NYL,12,0,8.8,0.6,2.3,.250,0.3,1.6,.158,0.3,0.8,.444,.304,0.5,0.6,.857,0.0,0.5,0.9,0.3,0.0,0.7,0.6,1.9
Monique Billings,ATL,29,2,19.1,1.9,5.0,.389,0.0,0.0,1.000,1.9,4.9,.385,.392,1.6,2.1,.783,2.1,6.9,0.6,0.6,0.4,1.6,2.3,5.5
DeWanna Bonner,PHO,34,34,32.9,5.6,14.8,.377,1.5,5.6,.272,4.1,9.2,.441,.429,4.5,4.9,.916,1.0,7.6,2.7,1.3,0.6,1.6,1.6,17.2
Brittany Boyd,NYL,33,17,19.7,2.2,5.5,.394,0.2,0.7,.304,1.9,4.8,.408,.414,0.8,1.0,.765,0.8,3.7,4.6,1.4,0.1,2.5,2.1,5.3
Imani McGee-Stafford,DAL,29,6,11.9,1.8,3.8,.468,0.0,0.1,.250,1.7,3.6,.476,.472,0.3,0.5,.643,1.5,3.8,0.6,0.6,0.6,1.2,2.0,3.9
Jessica Breland,ATL,33,33,23.2,3.2,8.3,.378,0.3,1.2,.237,2.9,7.2,.401,.395,0.9,1.0,.879,1.3,7.3,1.7,1.3,1.1,1.2,2.0,7.5
Kalani Brown,LAS,28,0,13.5,1.9,4.0,.478,0.0,0.0,.000,1.9,4.0,.482,.478,1.3,1.6,.783,1.2,3.5,0.6,0.3,0.8,1.0,1.7,5.1
Lexie Brown,MIN,33,0,18.3,2.5,6.3,.402,1.6,4.1,.385,1.0,2.2,.432,.526,0.9,1.2,.789,0.2,1.4,1.4,0.9,0.0,1.2,1.3,7.6
Kennedy Burke,IND,31,7,13.6,1.5,3.8,.385,0.5,1.3,.350,1.0,2.5,.403,.444,1.0,1.4,.705,0.6,1.5,0.7,0.6,0.3,0.7,1.0,4.4
Liz Cambage,LVA,32,30,25.2,6.1,12.2,.504,0.1,0.4,.167,6.1,11.8,.515,.506,3.6,4.8,.748,2.0,8.2,2.1,0.6,1.6,2.3,2.8,15.9
Jordin Canada,SEA,30,29,28.8,3.7,9.6,.388,0.3,1.4,.186,3.5,8.2,.423,.401,2.1,2.7,.768,0.4,2.4,5.2,2.3,0.2,2.6,1.6,9.8
Bridget Carleton,CON,4,0,7.3,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,.000,0.0,0.0,,0.3,0.8,0.3,0.0,0.0,0.3,0.5,0.0
Bridget Carleton,MIN,4,0,2.8,0.3,0.5,.500,0.3,0.5,.500,0.0,0.0,,.750,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.8
Bridget Carleton,TOT,8,0,5.0,0.1,1.0,.125,0.1,0.5,.250,0.0,0.5,.000,.188,0.0,0.0,,0.1,0.5,0.1,0.0,0.0,0.1,0.3,0.4
Essence Carson,PHO,23,13,18.5,2.0,5.6,.352,0.6,1.8,.341,1.3,3.8,.356,.406,1.3,1.6,.784,0.5,2.2,1.5,0.5,0.3,0.7,1.0,5.8
Arica Carter,PHO,6,0,4.0,0.2,0.8,.200,0.0,0.7,.000,0.2,0.2,1.000,.200,0.0,0.0,,0.0,0.0,0.2,0.2,0.0,0.3,0.8,0.3
Maite Cazorla,ATL,31,1,15.4,0.9,3.0,.312,0.4,1.8,.236,0.5,1.2,.421,.382,0.7,0.8,.875,0.1,0.7,1.6,0.6,0.0,0.9,0.7,3.0
Tina Charles,NYL,33,33,31.2,6.7,17.2,.389,0.3,1.8,.186,6.3,15.4,.412,.398,3.3,4.0,.812,2.0,7.5,2.4,0.7,0.9,2.6,2.8,16.9
Karima Christmas-Kelly,MIN,6,0,12.0,0.8,3.0,.278,0.5,1.8,.273,0.3,1.2,.286,.361,0.5,0.8,.600,0.2,0.8,1.0,0.8,0.2,0.7,1.3,2.7
Layshia Clarendon,CON,9,0,15.3,2.0,4.8,.419,0.2,0.2,1.000,1.8,4.6,.390,.442,2.0,2.3,.857,0.8,2.4,2.1,0.3,0.0,0.9,0.8,6.2
Alysha Clark,SEA,31,30,28.4,3.7,7.6,.481,1.6,3.4,.481,2.0,4.2,.481,.589,0.6,0.7,.818,1.2,4.7,2.5,1.1,0.5,1.5,1.9,9.6
Natasha Cloud,WAS,34,34,32.1,3.2,8.2,.394,1.3,4.1,.326,1.9,4.1,.461,.475,1.2,1.8,.683,0.2,2.5,5.6,1.0,0.2,1.9,2.0,9.0
Alaina Coates,ATL,9,0,8.3,1.0,1.6,.643,0.0,0.0,,1.0,1.6,.643,.643,0.8,1.4,.538,0.9,3.0,0.1,0.2,0.7,0.4,2.2,2.8
Alaina Coates,MIN,14,0,6.6,1.1,2.2,.484,0.0,0.0,,1.1,2.2,.484,.484,0.4,0.6,.625,0.9,2.4,0.1,0.2,0.4,0.4,1.2,2.5
Alaina Coates,TOT,23,0,7.3,1.0,2.0,.533,0.0,0.0,,1.0,2.0,.533,.533,0.5,0.9,.571,0.9,2.6,0.1,0.2,0.5,0.4,1.6,2.6
Nia Coffey,ATL,28,6,13.9,1.7,5.0,.338,0.8,2.1,.379,0.9,2.9,.309,.417,0.8,1.5,.548,0.8,2.8,0.4,0.5,0.5,0.8,1.9,5.0
Napheesa Collier,MIN,34,34,33.3,4.9,10.0,.490,0.9,2.4,.361,4.0,7.6,.531,.534,2.4,3.0,.792,1.8,6.6,2.6,1.9,0.9,1.9,2.9,13.1
Sydney Colson,LVA,33,0,11.5,1.1,2.5,.440,0.3,0.6,.450,0.8,1.9,.438,.494,0.8,1.0,.818,0.1,0.7,1.8,0.9,0.1,0.8,1.2,3.3
Kahleah Copper,CHI,34,0,14.8,2.3,6.0,.387,0.4,1.4,.306,1.9,4.6,.413,.424,1.6,2.1,.771,0.4,1.9,0.9,0.4,0.1,1.3,1.5,6.7
Sophie Cunningham,PHO,32,5,12.2,0.9,2.5,.354,0.4,1.4,.304,0.4,1.0,.424,.443,0.9,1.1,.882,0.2,1.4,0.8,0.3,0.1,0.6,1.7,3.1
Damiris Dantas,MIN,26,26,25.7,3.4,7.9,.432,1.6,4.1,.393,1.8,3.8,.475,.534,0.7,1.0,.731,1.1,4.5,3.2,0.7,0.6,1.7,2.8,9.2
Kaela Davis,DAL,33,16,19.2,2.3,7.0,.329,0.5,1.5,.314,1.8,5.5,.333,.364,0.9,1.0,.879,0.5,2.2,2.1,0.5,0.2,2.2,2.4,6.0
Elena Delle Donne,WAS,31,31,29.1,7.1,13.8,.515,1.7,3.9,.430,5.4,9.9,.549,.576,3.7,3.8,.974,1.5,8.2,2.2,0.6,1.3,1.0,1.0,19.5
Diamond DeShields,CHI,34,34,30.2,5.6,14.1,.399,1.5,4.6,.316,4.2,9.5,.440,.451,3.4,4.1,.836,0.9,5.5,2.4,1.3,0.4,2.2,2.7,16.2
Blake Dietrick,SEA,17,1,6.2,0.1,0.6,.100,0.0,0.4,.000,0.1,0.2,.250,.100,0.2,0.4,.667,0.1,0.6,0.9,0.2,0.1,0.6,0.8,0.4
Stefanie Dolson,CHI,34,34,25.0,3.6,6.9,.519,0.9,2.4,.361,2.7,4.4,.607,.584,1.3,1.4,.898,1.2,5.6,2.2,0.6,1.0,1.9,3.7,9.3
Candice Dupree,IND,34,34,30.7,5.1,10.9,.472,0.0,0.1,.000,5.1,10.8,.475,.472,1.4,1.6,.839,0.7,5.0,2.5,0.4,0.6,1.5,1.0,11.6
